Peak,ν(F1) [ppm],Intensity [abs],Annotation
168,3.1136,113164.94,
169,3.1124,109775.88,
170,3.1063,106831.72,
171,3.1033,105161.19,
172,3.0993,103965.5,
173,3.098,100374.03,
174,3.0927,99708.94,
175,3.0885,100916.53,
176,3.0861,92048.03,
177,3.0623,80226.69,
178,3.0572,83757.88,
179,3.0451,88973.47,
180,3.0393,89703.41,
181,3.0288,89780.22,
182,3.028,92521.47,
183,3.0186,100963.97,
184,3.0046,145291.12,
185,3.003,155809.16,
186,2.9972,175351.56,
187,2.988,138483.84,
188,2.9735,72305.69,
189,2.97,67295.97,
190,2.9545,57367.75,
191,2.9512,57767.25,
192,2.95,57500.12,
193,2.9481,55142.84,
194,2.9338,65531.78,
195,2.9276,68103.5,
196,2.9208,72427.09,
197,2.9166,76053.5,
198,2.9145,78203.94,
199,2.9064,68710.44,
200,2.901,63026.62,
201,2.8938,64493.94,
202,2.8894,61400.53,
203,2.8834,62340.47,
204,2.8732,68047.47,
205,2.8669,66617.12,
206,2.8662,62707.84,
207,2.8637,61613.59,
208,2.8584,63318.16,
209,2.854,67732.56,
210,2.8462,69722.12,
211,2.8184,112257.47,
212,2.8159,112687,
213,2.8039,117983.72,
214,2.8015,118206.47,
215,2.7938,124505.34,
216,2.7822,110285.16,
217,2.781,102142.12,
218,2.7776,99211.25,
219,2.7737,94741.78,
220,2.7725,96087.94,
221,2.7679,93383.94,
222,2.7631,97026.75,
223,2.7579,95465.94,
224,2.7541,101969.44,
225,2.751,101823.5,
226,2.748,101369.78,
227,2.7463,110859.62,
228,2.7313,108968.53,
229,2.7277,103957.66,
230,2.7206,98788.72,
231,2.7122,103350.72,
232,2.7109,95298.81,
233,2.6996,96985.75,
234,2.6967,91154.06,
235,2.6873,98000.28,
236,2.6762,117886.94,
237,2.6717,126825.88,
238,2.6625,135924.31,
239,2.657,133830.5,
240,2.6471,132973.56,
241,2.6412,134457.12,
242,2.6398,140161.28,
243,2.6368,136214.72,
244,2.6286,129746.09,
245,2.6228,128519.44,
246,2.6216,125150.25,
247,2.6159,127035.41,
248,2.614,125287.16,
249,2.6058,156774.5,
250,2.6048,163715.5,
251,2.5972,163940.5,
252,2.5964,160350.66,
253,2.5853,118151.41,
254,2.5777,105706.59,
255,2.5682,106090.78,
256,2.5664,108902.06,
257,2.5605,108679.28,
258,2.559,105059.19,
259,2.5526,105998.03,
260,2.542,113365.31,
261,2.5384,117421.81,
262,2.5362,121693.94,
263,2.5345,120036.56,
264,2.529,125583.28,
265,2.5231,133369.12,
266,2.5185,140753.75,
267,2.5176,140687.66,
268,2.5046,173071.22,
269,2.4963,178346.44,
270,2.4942,179616.94,
271,2.4857,177582.09,
272,2.4792,171245.31,
273,2.4687,166613.22,
274,2.468,164387.75,
275,2.4657,163145.06,
276,2.4652,163405.03,
277,2.4598,166176.97,
278,2.4347,287135.12,
279,2.4343,287516.06,
280,2.4339,287221.91,
281,2.4297,318959.91,
282,2.4275,327608.66,
283,2.4149,430698.53,
284,2.3969,621109.31,
285,2.3943,638680.47,
286,2.3597,799328.19,
287,2.3474,796986.12,
288,2.3459,800254.09,
289,2.3049,509808.38,
290,2.3013,507351.16,
291,2.2963,470831.72,
292,2.2919,451215.25,
293,2.2884,452542.81,
294,2.276,374913.69,
295,2.2722,347374.72,
296,2.2717,347291.41,
297,2.2584,296795.59,
298,2.2509,274698.69,
299,2.2402,254822.72,
300,2.2355,267240.94,
301,2.2349,268016.28,
302,2.228,301199.69,
303,2.2204,407802.41,
304,2.1919,243109.78,
305,2.1876,250842.81,
306,2.1767,280118.91,
307,2.1737,287110.72,
308,2.1725,293208.97,
309,2.1683,294139.16,
310,2.1648,298718.97,
311,2.1534,306445.44,
312,2.1506,319518.66,
313,2.1456,340220.09,
314,2.1188,514500.5,
315,2.1127,492539.5,
316,2.0747,383234.41,
317,2.0581,512472.94,
318,2.0449,577298.28,
319,2.0309,492848.03,
320,2.0231,442208.44,
321,2.0136,380088.22,
322,2.0125,375891.84,
323,2.0089,356655.38,
324,1.999,347906.62,
325,1.9935,346770.75,
326,1.9911,348775.38,
327,1.9847,347648.53,
328,1.9807,348208.72,
329,1.9782,346522.09,
330,1.9542,262618.91,
331,1.9538,259840.56,
332,1.9534,253674.72,
333,1.9527,250259.66,
334,1.9484,244241.12,
335,1.9472,239606.56,
336,1.9392,234180.91,
337,1.9339,235322.16,
338,1.9225,322581.75,
339,1.9086,1240992.53,
340,1.8662,210308.47,
341,1.8626,201510.91,
342,1.86,198509.19,
343,1.8493,171668.5,
344,1.8401,152076.06,
345,1.8351,148095.5,
346,1.8279,143787.34,
347,1.8234,142532.12,
348,1.8212,138049.38,
349,1.8116,132527.03,
350,1.804,145300.06,
351,1.7982,154121,
352,1.7854,167207.94,
353,1.7813,163044.69,
354,1.7744,157673.12,
355,1.7522,160150.56,
356,1.7434,187267.78,
357,1.7375,203719.78,
358,1.7357,205251.84,
359,1.714,289886.62,
360,1.7117,291839.91,
361,1.7087,289767.03,
362,1.7059,282346.28,
363,1.6954,280327.88,
364,1.6917,282654.78,
365,1.6892,282339.31,
366,1.6854,277597.84,
367,1.6768,264389.81,
368,1.6637,220739.53,
369,1.6441,155611.75,
370,1.6343,147190.47,
371,1.6266,146224.53,
372,1.6112,155268.41,
373,1.6083,154304.81,
374,1.604,158227.81,
375,1.5947,158039.91,
376,1.5895,159820.28,
377,1.5853,164521.03,
378,1.5818,164727.12,
379,1.5793,164916.62,
380,1.571,171376.97,
381,1.5687,174083.41,
382,1.5651,176956.09,
383,1.5523,206790.16,
384,1.5384,231854.78,
385,1.5315,238103.5,
386,1.5255,240654.56,
387,1.5216,234799.31,
388,1.5178,234582.28,
389,1.5138,230010.28,
390,1.5037,236378.72,
391,1.4991,257424.97,
392,1.4969,259138.97,
393,1.4623,759285.03,
394,1.4195,224929.81,
395,1.4087,208822.38,
396,1.4051,202628.12,
397,1.3959,208417.09,
398,1.3933,206139.66,
399,1.3902,209316.41,
400,1.3797,212992.91,
401,1.3759,219060.72,
402,1.3651,238136.47,
403,1.3591,253206.22,
404,1.3503,277417.28,
405,1.3152,784159.12,
406,1.2957,466847.31,
407,1.2856,413571.53,
408,1.2813,406276.91,
409,1.2629,358270.16,
410,1.257,357206.12,
411,1.24,521697.97,
412,1.2223,336524.19,
413,1.1881,1408469.12,
414,1.1461,215658.97,
415,1.1437,213510.53,
416,1.1398,211097.41,
417,1.1353,215126,
418,1.1333,208043.34,
419,1.1296,211748.97,
420,1.1193,262052.38,
421,1.118,265093.34,
422,1.109,261095.34,
423,1.0933,247884.22,
424,1.0914,243907.06,
425,1.0856,251026.44,
426,1.0755,230085.22,
427,1.0297,655650.03,
428,1.017,504275.28,
429,1.012,459198.41,
430,0.9815,752778.28,
431,0.9707,819555.31,
432,0.9609,844613.66,
433,0.9485,970119.22,
434,0.8957,388916.12,
435,0.8909,377105,
436,0.8874,373273.88,
437,0.8762,314587.56,
438,0.8667,235294.38,
439,0.8657,223369.66,
440,0.8545,158507.44,
441,0.8504,132780.19,
442,0.8426,107330.72,
443,0.8183,66287.06,
444,0.817,66692.81,
445,0.8149,62087.28,
446,0.8128,62366.53,
447,0.8111,55670.75,
448,0.8073,58347.97,
449,0.8052,54192.53,
450,0.803,53621.31,
451,0.1671,61887.25,
452,0.1573,87840.69,
453,0.1507,104872.25,
454,0.1198,87438.06,
455,0.1173,94139.62,
456,0.1094,106847.53,
457,0.0837,204902.19,
458,0.0794,246954.16,
459,0.0747,260876.22,
460,0.0713,259300,
461,0.0523,365004.28,
462,-0.0433,357231.59,
463,-0.0588,193606.84,
