ppm, BSLE010, BSLE046
-878.0598,0.1548,0.0533
-877.9992,0.1001,0.05
-877.9385,0.0313,0.0388
-877.8778,-0.0425,0.0198
-877.8172,-0.1071,-0.0022
-877.7565,-0.1492,-0.0193
-877.6958,-0.163,-0.0246
-877.6352,-0.1536,-0.0153
-877.5745,-0.1335,0.0054
-877.5139,-0.1166,0.0294
-877.4532,-0.111,0.0473
-877.3925,-0.1169,0.0528
-877.3319,-0.1283,0.0452
-877.2712,-0.1378,0.0299
-877.2106,-0.1395,0.0155
-877.1499,-0.1317,0.0104
-877.0892,-0.1159,0.019
-877.0286,-0.0964,0.0407
-876.9679,-0.0797,0.0697
-876.9072,-0.073,0.0971
-876.8466,-0.082,0.1139
-876.7859,-0.1069,0.1129
-876.7253,-0.14,0.0912
-876.6646,-0.1669,0.0515
-876.6039,-0.1723,0.0015
-876.5433,-0.1484,-0.0476
-876.4826,-0.1003,-0.0852
-876.4219,-0.0442,-0.1046
-876.3613,0.0002,-0.1055
-876.3006,0.0214,-0.0937
-876.24,0.022,-0.0773
-876.1793,0.016,-0.0636
-876.1186,0.0192,-0.0559
-876.058,0.0375,-0.0536
-875.9973,0.0626,-0.0542
-875.9366,0.0771,-0.0554
-875.876,0.0669,-0.0551
-875.8153,0.0316,-0.0505
-875.7547,-0.0132,-0.0371
-875.694,-0.0449,-0.0094
-875.6333,-0.048,0.0356
-875.5727,-0.0239,0.0952
-875.512,0.0093,0.1594
-875.4513,0.0277,0.2139
-875.3907,0.0153,0.2455
-875.33,-0.0263,0.2481
-875.2694,-0.0808,0.2241
-875.2087,-0.1272,0.1819
-875.148,-0.1524,0.131
-875.0874,-0.157,0.0774
-875.0267,-0.1519,0.024
-874.966,-0.1486,-0.0274
-874.9054,-0.151,-0.0724
-874.8447,-0.1533,-0.1038
-874.7841,-0.1459,-0.1147
-874.7234,-0.1235,-0.1022
-874.6627,-0.0901,-0.0708
-874.6021,-0.0576,-0.0304
-874.5414,-0.0382,0.0067
-874.4807,-0.0373,0.0313
-874.4201,-0.0511,0.0382
-874.3594,-0.0695,0.0271
-874.2988,-0.0829,0.0006
-874.2381,-0.0871,-0.0362
-874.1774,-0.0837,-0.0758
-874.1168,-0.0766,-0.1086
-874.0561,-0.0679,-0.1259
-873.9954,-0.0559,-0.1236
-873.9348,-0.038,-0.1051
-873.8741,-0.0138,-0.0801
-873.8135,0.0124,-0.0595
-873.7528,0.0335,-0.0479
-873.6921,0.043,-0.0406
-873.6315,0.0396,-0.0257
-873.5708,0.027,0.0078
-873.5101,0.0118,0.0626
-873.4495,-0.0005,0.1303
-873.3888,-0.007,0.1967
-873.3282,-0.0071,0.2499
-873.2675,-0.0002,0.2863
-873.2068,0.0155,0.3107
-873.1462,0.0412,0.3301
-873.0855,0.0749,0.3464
-873.0248,0.1096,0.3553
-872.9642,0.1353,0.3499
-872.9035,0.1445,0.3287
-872.8429,0.1366,0.2984
-872.7822,0.119,0.2717
-872.7215,0.1024,0.2575
-872.6609,0.0936,0.2544
-872.6002,0.0906,0.2495
-872.5395,0.0843,0.2266
-872.4789,0.0651,0.1768
-872.4182,0.0318,0.1056
-872.3576,-0.0056,0.0303
-872.2969,-0.0296,-0.0295
-872.2362,-0.0261,-0.0622
-872.1756,0.0069,-0.0696
-872.1149,0.0567,-0.0622
-872.0542,0.1027,-0.0516
-871.9936,0.128,-0.0433
-871.9329,0.1287,-0.0359
-871.8723,0.1152,-0.0263
-871.8116,0.105,-0.0151
-871.7509,0.1114,-0.0069
-871.6903,0.1362,-0.007
-871.6296,0.1684,-0.015
-871.5689,0.1918,-0.0223
-871.5083,0.1936,-0.0171
-871.4476,0.1709,0.0084
-871.387,0.1314,0.05
-871.3263,0.0882,0.0924
-871.2656,0.0544,0.1154
-871.205,0.0383,0.105
-871.1443,0.0419,0.0607
-871.0836,0.0626,-0.0039
-871.023,0.0943,-0.0679
-870.9623,0.1297,-0.1127
-870.9017,0.1617,-0.1294
-870.841,0.1843,-0.1203
-870.7803,0.1946,-0.0959
-870.7197,0.193,-0.0683
-870.659,0.1822,-0.0464
-870.5983,0.1659,-0.0334
-870.5377,0.1465,-0.0272
-870.477,0.1248,-0.0228
-870.4164,0.1007,-0.015
-870.3557,0.0747,-0.001
-870.295,0.0483,0.0193
-870.2344,0.0238,0.0432
-870.1737,0.0025,0.0677
-870.113,-0.0156,0.0913
-870.0524,-0.0312,0.1155
-869.9917,-0.0449,0.1427
-869.9311,-0.0556,0.1742
-869.8704,-0.0621,0.2066
-869.8097,-0.0655,0.2326
-869.7491,-0.0703,0.2445
-869.6884,-0.0843,0.2395
-869.6277,-0.1151,0.2237
-869.5671,-0.1651,0.2109
-869.5064,-0.2283,0.217
-869.4458,-0.2918,0.2511
-869.3851,-0.3404,0.3103
-869.3244,-0.3624,0.3802
-869.2638,-0.3547,0.4412
-869.2031,-0.3229,0.4782
-869.1424,-0.2779,0.4866
-869.0818,-0.2313,0.4731
-869.0211,-0.1911,0.4503
-868.9605,-0.1598,0.4289
-868.8998,-0.1357,0.4122
-868.8391,-0.1142,0.3957
-868.7785,-0.0912,0.3706
-868.7178,-0.0643,0.3294
-868.6571,-0.0344,0.27
-868.5965,-0.0048,0.197
-868.5358,0.0198,0.1198
-868.4752,0.0364,0.0497
-868.4145,0.0456,-0.0024
-868.3538,0.0523,-0.0285
-868.2932,0.0634,-0.0249
-868.2325,0.0843,0.0061
-868.1718,0.1159,0.0557
-868.1112,0.1537,0.1104
-868.0505,0.1902,0.1547
-867.9899,0.2193,0.1764
-867.9292,0.2384,0.1706
-867.8685,0.2493,0.1406
-867.8079,0.2555,0.0959
-867.7472,0.2586,0.048
-867.6865,0.2579,0.0054
-867.6259,0.2511,-0.0285
-867.5652,0.2373,-0.0544
-867.5046,0.2192,-0.0743
-867.4439,0.2015,-0.0883
-867.3832,0.1891,-0.0934
-867.3226,0.1838,-0.0858
-867.2619,0.184,-0.063
-867.2012,0.1863,-0.0273
-867.1406,0.1883,0.0145
-867.0799,0.1895,0.0529
-867.0193,0.1906,0.0797
-866.9586,0.1912,0.0912
-866.8979,0.1887,0.089
-866.8373,0.1798,0.0791
-866.7766,0.1634,0.0684
-866.7159,0.1433,0.0619
-866.6553,0.1275,0.0609
-866.5946,0.1242,0.0634
-866.534,0.1373,0.0656
-866.4733,0.1626,0.0639
-866.4126,0.1889,0.0564
-866.352,0.2024,0.0426
-866.2913,0.1922,0.0238
-866.2306,0.1551,0.0019
-866.17,0.096,-0.0204
-866.1093,0.0266,-0.0394
-866.0487,-0.0386,-0.051
-865.988,-0.0863,-0.0509
-865.9273,-0.108,-0.0357
-865.8667,-0.1016,-0.0045
-865.806,-0.0718,0.04
-865.7453,-0.0278,0.0912
-865.6847,0.0197,0.1394
-865.624,0.0628,0.1738
-865.5634,0.0982,0.1855
-865.5027,0.1272,0.1706
-865.442,0.1529,0.132
-865.3814,0.178,0.0792
-865.3207,0.204,0.0252
-865.26,0.2323,-0.0176
-865.1994,0.2659,-0.042
-865.1387,0.3088,-0.0484
-865.0781,0.3635,-0.0434
-865.0174,0.4264,-0.036
-864.9567,0.4861,-0.0324
-864.8961,0.5268,-0.032
-864.8354,0.5341,-0.029
-864.7747,0.5021,-0.0155
-864.7141,0.436,0.0125
-864.6534,0.3488,0.0514
-864.5928,0.2545,0.0916
-864.5321,0.1629,0.1215
-864.4714,0.0783,0.1347
-864.4108,0.0031,0.1329
-864.3501,-0.0591,0.1257
-864.2894,-0.1021,0.1244
-864.2288,-0.1212,0.1357
-864.1681,-0.1167,0.1573
-864.1075,-0.0962,0.1798
-864.0468,-0.07,0.192
-863.9861,-0.0458,0.1882
-863.9255,-0.0247,0.1714
-863.8648,-0.003,0.1514
-863.8041,0.0213,0.1383
-863.7435,0.0439,0.1363
-863.6828,0.0543,0.1401
-863.6222,0.0437,0.138
-863.5615,0.0131,0.1188
-863.5008,-0.0237,0.078
-863.4402,-0.0465,0.021
-863.3795,-0.0409,-0.039
-863.3189,-0.0074,-0.0875
-863.2582,0.0386,-0.1145
-863.1975,0.0772,-0.118
-863.1369,0.0973,-0.103
-863.0762,0.1033,-0.0777
-863.0155,0.1101,-0.0496
-862.9549,0.1304,-0.0228
-862.8942,0.1637,0.0026
-862.8336,0.1957,0.029
-862.7729,0.2086,0.0603
-862.7122,0.1952,0.1
-862.6516,0.1654,0.1498
-862.5909,0.1411,0.2079
-862.5302,0.141,0.2684
-862.4696,0.1682,0.3222
-862.4089,0.2074,0.3589
-862.3483,0.2353,0.3707
-862.2876,0.2357,0.3555
-862.2269,0.21,0.317
-862.1663,0.1749,0.2628
-862.1056,0.1513,0.2012
-862.0449,0.1508,0.1382
-861.9843,0.1698,0.0776
-861.9236,0.1941,0.0222
-861.863,0.2088,-0.0249
-861.8023,0.2071,-0.0599
-861.7416,0.1918,-0.0809
-861.681,0.1711,-0.0893
-861.6203,0.1523,-0.0898
-861.5596,0.1392,-0.0882
-861.499,0.1333,-0.0867
-861.4383,0.1364,-0.0816
-861.3777,0.1506,-0.0652
-861.317,0.1767,-0.0303
-861.2563,0.2103,0.0241
-861.1957,0.2427,0.0904
-861.135,0.2645,0.1551
-861.0743,0.2712,0.2052
-861.0137,0.2659,0.2339
-860.953,0.2567,0.2426
-860.8924,0.2505,0.2379
-860.8317,0.2476,0.2261
-860.771,0.2404,0.2101
-860.7104,0.218,0.1894
-860.6497,0.1726,0.1635
-860.589,0.1039,0.1356
-860.5284,0.0198,0.1125
-860.4677,-0.0674,0.1012
-860.4071,-0.1443,0.1038
-860.3464,-0.1988,0.1154
-860.2857,-0.2212,0.1257
-860.2251,-0.2061,0.1252
-860.1644,-0.1553,0.1096
-860.1037,-0.0803,0.0822
-860.0431,-0.0021,0.0506
-859.9824,0.0553,0.0214
-859.9218,0.0741,-0.0034
-859.8611,0.0513,-0.0271
-859.8004,0.0004,-0.0538
-859.7398,-0.0542,-0.0848
-859.6791,-0.0874,-0.1164
-859.6184,-0.0836,-0.1417
-859.5578,-0.0394,-0.1544
-859.4971,0.038,-0.1527
-859.4365,0.1365,-0.1398
-859.3758,0.2426,-0.1223
-859.3151,0.3421,-0.1065
-859.2545,0.4192,-0.0962
-859.1938,0.4584,-0.0916
-859.1331,0.449,-0.0902
-859.0725,0.3919,-0.0882
-859.0118,0.3016,-0.0817
-858.9512,0.2027,-0.0674
-858.8905,0.1191,-0.0434
-858.8298,0.0639,-0.0103
-858.7692,0.0346,0.0285
-858.7085,0.017,0.0677
-858.6478,-0.0043,0.1017
-858.5872,-0.0361,0.1273
-858.5265,-0.0731,0.1452
-858.4659,-0.1026,0.1589
-858.4052,-0.114,0.1728
-858.3445,-0.1061,0.1887
-858.2839,-0.0883,0.2043
-858.2232,-0.0754,0.2142
-858.1625,-0.0784,0.2119
-858.1019,-0.0992,0.1928
-858.0412,-0.1298,0.1565
-857.9806,-0.1579,0.1061
-857.9199,-0.1734,0.0474
-857.8592,-0.1729,-0.0138
-857.7986,-0.1588,-0.073
-857.7379,-0.1358,-0.1287
-857.6772,-0.1069,-0.1811
-857.6166,-0.0709,-0.2314
-857.5559,-0.0253,-0.2792
-857.4953,0.0308,-0.3195
-857.4346,0.0929,-0.3425
-857.3739,0.1518,-0.3354
-857.3133,0.1967,-0.2872
-857.2526,0.2212,-0.1958
-857.1919,0.2271,-0.072
-857.1313,0.2238,0.0605
-857.0706,0.2239,0.172
-857.01,0.2366,0.2373
-856.9493,0.2621,0.2452
-856.8886,0.2921,0.2027
-856.828,0.3145,0.1307
-856.7673,0.3204,0.0551
-856.7066,0.3097,-0.0042
-856.646,0.2919,-0.0385
-856.5853,0.2807,-0.0506
-856.5247,0.2872,-0.0489
-856.464,0.3141,-0.0412
-856.4033,0.3551,-0.0318
-856.3427,0.3981,-0.0221
-856.282,0.4318,-0.0143
-856.2213,0.45,-0.0129
-856.1607,0.4529,-0.0244
-856.1,0.4446,-0.0535
-856.0394,0.4295,-0.0993
-855.9787,0.4096,-0.1549
-855.918,0.3839,-0.2096
-855.8574,0.3513,-0.2539
-855.7967,0.3132,-0.2831
-855.736,0.2755,-0.2974
-855.6754,0.2472,-0.2999
-855.6147,0.2365,-0.2929
-855.5541,0.2458,-0.2769
-855.4934,0.2682,-0.251
-855.4327,0.2888,-0.216
-855.3721,0.2906,-0.1757
-855.3114,0.2631,-0.1365
-855.2507,0.2085,-0.1046
-855.1901,0.1428,-0.0832
-855.1294,0.0887,-0.0712
-855.0688,0.0647,-0.0657
-855.0081,0.0755,-0.0641
-854.9474,0.1102,-0.0662
-854.8868,0.1491,-0.0731
-854.8261,0.175,-0.0847
-854.7654,0.1824,-0.097
-854.7048,0.1781,-0.1026
-854.6441,0.1746,-0.094
-854.5835,0.1798,-0.0692
-854.5228,0.1919,-0.0346
-854.4621,0.2021,-0.0038
-854.4015,0.2032,0.0078
-854.3408,0.1962,-0.0095
-854.2801,0.1907,-0.0547
-854.2195,0.1968,-0.1156
-854.1588,0.2152,-0.1738
-854.0982,0.2334,-0.2123
-854.0375,0.231,-0.2225
-853.9768,0.1928,-0.207
-853.9162,0.1185,-0.1779
-853.8555,0.0249,-0.1509
-853.7948,-0.0626,-0.1387
-853.7342,-0.123,-0.1449
-853.6735,-0.1488,-0.163
-853.6129,-0.1462,-0.1788
-853.5522,-0.1282,-0.1765
-853.4915,-0.106,-0.146
-853.4309,-0.0853,-0.0878
-853.3702,-0.0685,-0.014
-853.3095,-0.0588,0.0565
-853.2489,-0.0612,0.105
-853.1882,-0.0792,0.1205
-853.1276,-0.1103,0.1034
-853.0669,-0.145,0.0639
-853.0062,-0.1721,0.0167
-852.9456,-0.1862,-0.026
-852.8849,-0.1921,-0.058
-852.8242,-0.2015,-0.0795
-852.7636,-0.2235,-0.0934
-852.7029,-0.2562,-0.102
-852.6423,-0.2858,-0.1046
-852.5816,-0.2945,-0.0988
-852.5209,-0.2728,-0.0831
-852.4603,-0.2258,-0.0596
-852.3996,-0.1704,-0.0335
-852.3389,-0.1239,-0.0115
-852.2783,-0.0935,0.0021
-852.2176,-0.0734,0.007
-852.157,-0.0515,0.0077
-852.0963,-0.0198,0.0109
-852.0356,0.019,0.0221
-851.975,0.0547,0.0419
-851.9143,0.0776,0.0655
-851.8536,0.0864,0.0837
-851.793,0.0875,0.0868
-851.7323,0.0882,0.0698
-851.6717,0.0882,0.0356
-851.611,0.0781,-0.0047
-851.5503,0.0462,-0.0357
-851.4897,-0.011,-0.0446
-851.429,-0.0823,-0.0274
-851.3683,-0.1466,0.0085
-851.3077,-0.1844,0.0477
-851.247,-0.1897,0.0739
-851.1864,-0.1729,0.0775
-851.1257,-0.153,0.0598
-851.065,-0.1445,0.0301
-851.0044,-0.1483,-0.0005
-850.9437,-0.1528,-0.0258
-850.883,-0.1426,-0.0476
-850.8224,-0.1097,-0.0727
-850.7617,-0.0575,-0.1074
-850.7011,0.0035,-0.1517
-850.6404,0.064,-0.1989
-850.5797,0.1224,-0.2386
-850.5191,0.1832,-0.2624
-850.4584,0.2499,-0.2681
-850.3977,0.3185,-0.2601
-850.3371,0.376,-0.2459
-850.2764,0.4066,-0.2324
-850.2158,0.4007,-0.2226
-850.1551,0.361,-0.215
-850.0944,0.3014,-0.2052
-850.0338,0.2402,-0.1882
-849.9731,0.1916,-0.1597
-849.9124,0.1611,-0.1181
-849.8518,0.1463,-0.0647
-849.7911,0.1417,-0.004
-849.7305,0.1429,0.0568
-849.6698,0.1489,0.1103
-849.6091,0.1604,0.1508
-849.5485,0.1777,0.176
-849.4878,0.1986,0.1873
-849.4272,0.219,0.1874
-849.3665,0.2344,0.179
-849.3058,0.2419,0.1635
-849.2452,0.241,0.143
-849.1845,0.2319,0.1219
-849.1238,0.2147,0.1076
-849.0632,0.1873,0.1085
-849.0025,0.1461,0.1305
-848.9419,0.0872,0.1735
-848.8812,0.0102,0.231
-848.8205,-0.0796,0.293
-848.7599,-0.1705,0.35
-848.6992,-0.2468,0.3945
-848.6385,-0.2942,0.4215
-848.5779,-0.3067,0.4259
-848.5172,-0.2893,0.4023
-848.4566,-0.2573,0.3478
-848.3959,-0.2298,0.2665
-848.3352,-0.2218,0.1722
-848.2746,-0.2381,0.0858
-848.2139,-0.2716,0.027
-848.1532,-0.3073,0.0047
-848.0926,-0.3291,0.0115
-848.0319,-0.3249,0.0271
-847.9713,-0.291,0.0288
-847.9106,-0.2309,0.0038
-847.8499,-0.1541,-0.0443
-847.7893,-0.0726,-0.0988
-847.7286,0.0024,-0.1394
-847.6679,0.0625,-0.1536
-847.6073,0.1049,-0.1424
-847.5466,0.1317,-0.1177
-847.486,0.1481,-0.0945
-847.4253,0.1581,-0.0829
-847.3646,0.1613,-0.0849
-847.304,0.1532,-0.096
-847.2433,0.1289,-0.1108
-847.1826,0.0889,-0.1264
-847.122,0.0435,-0.1438
-847.0613,0.0107,-0.1653
-847.0007,0.0086,-0.1914
-846.94,0.0459,-0.219
-846.8793,0.1156,-0.2415
-846.8187,0.1966,-0.2512
-846.758,0.2621,-0.2418
-846.6973,0.2908,-0.2104
-846.6367,0.2753,-0.1589
-846.576,0.2231,-0.0939
-846.5154,0.1522,-0.025
-846.4547,0.0824,0.0374
-846.394,0.0284,0.0861
-846.3334,-0.004,0.1184
-846.2727,-0.0177,0.1358
-846.212,-0.0225,0.1417
-846.1514,-0.0301,0.138
-846.0907,-0.0505,0.1233
-846.0301,-0.0873,0.0952
-845.9694,-0.1362,0.0532
-845.9087,-0.187,0.0029
-845.8481,-0.2277,-0.0445
-845.7874,-0.251,-0.0763
-845.7267,-0.2569,-0.084
-845.6661,-0.2513,-0.0686
-845.6054,-0.2405,-0.04
-845.5448,-0.2254,-0.0123
-845.4841,-0.2001,0.0032
-845.4234,-0.1566,0.0032
-845.3628,-0.0923,-0.0069
-845.3021,-0.0149,-0.017
-845.2414,0.0588,-0.0176
-845.1808,0.1105,-0.0048
-845.1201,0.1293,0.0192
-845.0595,0.1165,0.0479
-844.9988,0.0837,0.0743
-844.9381,0.0455,0.0934
-844.8775,0.0127,0.1039
-844.8168,-0.0101,0.1074
-844.7561,-0.0227,0.1073
-844.6955,-0.0245,0.1073
-844.6348,-0.0141,0.1107
-844.5742,0.0095,0.1199
-844.5135,0.043,0.136
-844.4528,0.0784,0.159
-844.3922,0.1057,0.1874
-844.3315,0.1196,0.2185
-844.2708,0.1224,0.2487
-844.2102,0.1231,0.2739
-844.1495,0.1313,0.2907
-844.0889,0.1506,0.2975
-844.0282,0.1768,0.2942
-843.9675,0.2003,0.2821
-843.9069,0.2127,0.2619
-843.8462,0.2104,0.233
-843.7855,0.1953,0.1938
-843.7249,0.1709,0.1443
-843.6642,0.1396,0.0881
-843.6036,0.1019,0.033
-843.5429,0.0589,-0.0113
-843.4822,0.0149,-0.0383
-843.4216,-0.0231,-0.0487
-843.3609,-0.0486,-0.0501
-843.3002,-0.0598,-0.0522
-843.2396,-0.0607,-0.0603
-843.1789,-0.0581,-0.0712
-843.1183,-0.057,-0.0753
-843.0576,-0.0586,-0.0644
-842.9969,-0.0615,-0.0396
-842.9363,-0.0657,-0.0142
-842.8756,-0.075,-0.0069
-842.8149,-0.0957,-0.0309
-842.7543,-0.1305,-0.0841
-842.6936,-0.1747,-0.1482
-842.633,-0.2169,-0.1983
-842.5723,-0.2447,-0.2162
-842.5116,-0.2537,-0.2
